family,count
Abyssocottidae,24
Acanthuridae,81
Acestrorhynchidae,15
Achiridae,33
Achiropsettidae,6
Acipenseridae,28
Acropomatidae,33
Adrianichthyidae,28
Agonidae,47
Akysidae,52
Albulidae,10
Alepisauridae,2
Alepocephalidae,96
Alestidae,113
Alopiidae,3
Amarsipidae,1
Ambassidae,49
Amblycipitidae,29
Amblyopsidae,6
Amiidae,1
Ammodytidae,23
Amphiliidae,75
Anabantidae,36
Anablepidae,17
Anacanthobatidae,13
Anarhichadidae,5
Anchariidae,6
Anguillidae,21
Anomalopidae,8
Anoplogastridae,2
Anoplopomatidae,2
Anostomidae,146
Anotopteridae,3
Antennariidae,45
Aphredoderidae,1
Aphyonidae,22
Apistidae,3
Aploactinidae,43
Aplocheilidae,15
Aplodactylidae,6
Apogonidae,345
Apteronotidae,58
Aracanidae,13
Arapaimidae,2
Argentinidae,25
Ariidae,156
Ariommatidae,9
Arripidae,4
Artedidraconidae,26
Aspredinidae,37
Astroblepidae,54
Ateleopodidae,13
Atherinidae,65
Atherinopsidae,108
Auchenipteridae,106
Aulopidae,11
Aulorhynchidae,2
Aulostomidae,3
Austroglanididae,3
Badidae,16
Bagridae,210
Balistidae,42
Balitoridae,725
Banjosidae,1
Barbourisiidae,1
Bathyclupeidae,7
Bathydraconidae,17
Bathylagidae,23
Bathylutichthyidae,1
Bathymasteridae,7
Bathysauridae,2
Bathysauroididae,1
Bathysauropsidae,2
Batrachoididae,81
Bedotiidae,13
Belonidae,45
Bembridae,8
Berycidae,10
Blenniidae,383
Bothidae,162
Bovichtidae,10
Brachaeluridae,2
Brachionichthyidae,5
Bramidae,21
Bregmacerotidae,13
Bythitidae,185
Caesionidae,22
Callanthiidae,14
Callichthyidae,195
Callionymidae,190
Callorhinchidae,3
Caproidae,18
Caracanthidae,4
Carangidae,151
Carapidae,35
Carcharhinidae,52
Caristiidae,6
Catostomidae,79
Caulophrynidae,5
Centracanthidae,9
Centrarchidae,32
Centriscidae,13
Centrogenyidae,1
Centrolophidae,31
Centrophoridae,18
Centrophrynidae,1
Centropomidae,12
Cepolidae,21
Ceratiidae,4
Ceratodontidae,1
Cetomimidae,20
Cetopsidae,41
Cetorhinidae,1
Chacidae,3
Chaenopsidae,92
Chaetodontidae,128
Champsodontidae,13
Chanidae,1
Channichthyidae,24
Channidae,33
Characidae,1144
Chaudhuriidae,9
Chaunacidae,15
Cheilodactylidae,26
Cheimarrichthyidae,1
Chiasmodontidae,32
Chilodontidae,8
Chimaeridae,35
Chirocentridae,2
Chironemidae,6
Chlamydoselachidae,1
Chlopsidae,24
Chlorophthalmidae,18
Cichlidae,1593
Cirrhitidae,32
Citharidae,7
Citharinidae,105
Clariidae,112
Claroteidae,81
Clinidae,87
Clupeidae,208
Cobitidae,218
Colocongridae,8
Comephoridae,2
Congiopodidae,9
Congridae,186
Coryphaenidae,2
Cottidae,252
Cottocomephoridae,9
Cranoglanididae,3
Creediidae,17
Crenuchidae,82
Cryptacanthodidae,4
Ctenoluciidae,7
Curimatidae,99
Cyclopteridae,28
Cyematidae,2
Cynodontidae,14
Cynoglossidae,140
Cyprinidae,2751
Cyprinodontidae,133
Cyttidae,3
Dactylopteridae,7
Dactyloscopidae,44
Dalatiidae,10
Dasyatidae,84
Datnioididae,5
Dentatherinidae,1
Denticipitidae,1
Derichthyidae,3
Diceratiidae,6
Dichistiidae,2
Dinolestidae,1
Dinopercidae,2
Diodontidae,22
Diplomystidae,6
Diretmidae,4
Doradidae,89
Draconettidae,13
Drepaneidae,3
Echeneidae,8
Echinorhinidae,2
Elassomatidae,6
Eleginopidae,1
Eleotridae,173
Elopidae,6
Embiotocidae,25
Emmelichthyidae,17
Engraulidae,141
Enoplosidae,1
Ephippidae,15
Epigonidae,34
Erethistidae,29
Ereuniidae,3
Erythrinidae,14
Eschmeyeridae,1
Esocidae,6
Etmopteridae,44
Euclichthyidae,1
Eurypharyngidae,1
Evermannellidae,8
Exocoetidae,67
Fistulariidae,4
Fundulidae,47
Gadidae,24
Galaxiidae,51
Gasteropelecidae,9
Gasterosteidae,17
Gempylidae,24
Gerreidae,55
Gibberichthyidae,2
Gigantactinidae,23
Giganturidae,2
Ginglymostomatidae,3
Glaucosomatidae,4
Gnathanacanthidae,1
Gobiesocidae,158
Gobiidae,1561
Gonorynchidae,5
Gonostomatidae,32
Goodeidae,54
Grammatidae,12
Grammicolepididae,3
Gymnarchidae,1
Gymnotidae,34
Gymnuridae,14
Gyrinocheilidae,3
Haemulidae,137
Halosauridae,17
Hapalogenyidae,9
Harpagiferidae,10
Helostomatidae,1
Hemigaleidae,8
Hemiodontidae,29
Hemiramphidae,121
Hemiscylliidae,15
Hemitripteridae,8
Hepsetidae,1
Heptapteridae,208
Heterenchelyidae,8
Heterodontidae,9
Heteropneustidae,4
Hexagrammidae,12
Hexanchidae,4
Hexatrygonidae,1
Himantolophidae,19
Hiodontidae,2
Hispidoberycidae,1
Holocentridae,84
Hoplichthyidae,12
Howellidae,8
Hypopomidae,18
Hypoptychidae,1
Icosteidae,1
Ictaluridae,51
Indostomidae,3
Inermiidae,2
Ipnopidae,28
Istiophoridae,11
Kneriidae,30
Kraemeriidae,9
