"","title","year","genre"
"1","$",1971,"Comedy"
"2","$",1971,"Drama"
"3","$1000 a Touchdown",1939,"Comedy"
"4","$21 a Day Once a Month",1941,"Animation"
"5","$21 a Day Once a Month",1941,"Short"
"6","$40,000",1996,"Comedy"
"7","$pent",2000,"Drama"
"8","$windle",2002,"Action"
"9","$windle",2002,"Drama"
"10","'15'",2002,"Documentary"
"11","'15'",2002,"Short"
"12","'38",1987,"Drama"
"13","'68",1988,"Drama"
"14","'?' Motorist, The",1906,"Comedy"
"15","'?' Motorist, The",1906,"Short"
"16","'A'",1965,"Short"
"17","'A' gai waak",1983,"Action"
"18","'A' gai waak",1983,"Comedy"
"19","'A' gai waak juk jaap",1987,"Action"
"20","'A' gai waak juk jaap",1987,"Comedy"
"21","'Breaker' Morant",1980,"Drama"
"22","'Bullitt': Steve McQueen's Commitment to Reality",1968,"Documentary"
"23","'Bullitt': Steve McQueen's Commitment to Reality",1968,"Short"
"24","'Crocodile' Dundee II",1988,"Action"
"25","'Crocodile' Dundee II",1988,"Comedy"
"26","'E'",1981,"Animation"
"27","'E'",1981,"Comedy"
"28","'E'",1981,"Short"
"29","'El Chicko' - der Verdacht",1995,"Comedy"
"30","'G' Men",1935,"Drama"
"31","'Gator Bait",1974,"Action"
"32","'Gator Bait",1974,"Drama"
"33","'High Sign', The",1921,"Comedy"
"34","'High Sign', The",1921,"Short"
"35","'Hyp-Nut-Tist', The",1935,"Animation"
"36","'Hyp-Nut-Tist', The",1935,"Comedy"
"37","'Hyp-Nut-Tist', The",1935,"Short"
"38","'I Know Where I'm Going!'",1945,"Drama"
"39","'I Know Where I'm Going!'",1945,"Romance"
"40","'Java Madness' formerly titled 'Coffee Madness'",1995,"Comedy"
"41","'Java Madness' formerly titled 'Coffee Madness'",1995,"Short"
"42","'Je vous salue, Marie'",1985,"Drama"
"43","'Kaash'",1987,"Drama"
"44","'M' Word",1996,"Comedy"
"45","'M' Word",1996,"Romance"
"46","'Mad' Boy, I'll Blow Your Blues Away. Be Mine",1997,"Short"
"47","'Merci la vie'",1991,"Drama"
"48","'Neath Brooklyn Bridge",1942,"Comedy"
"49","'Neath Brooklyn Bridge",1942,"Drama"
"50","'Neath Canadian Skies",1946,"Short"
"51","'Night, Mother",1986,"Drama"
"52","'O re",1989,"Comedy"
"53","'Pimpernel' Smith",1941,"Drama"
"54","'R Xmas",2001,"Drama"
"55","'Round Midnight",1986,"Drama"
"56","'Sheba, Baby'",1975,"Action"
"57","'Sheba, Baby'",1975,"Drama"
"58","'Sugar Chile' Robinson, Billie Holiday, Count Basie and His Sextet",1951,"Short"
"59","'Teddy' Bears, The",1907,"Animation"
"60","'Teddy' Bears, The",1907,"Short"
"61","'Til There Was You",1997,"Comedy"
"62","'Til There Was You",1997,"Romance"
"63","'Til We Meet Again",1940,"Drama"
"64","'Til We Meet Again",1940,"Romance"
"65","'What's Your 'I.Q.'?' Number Two",1940,"Documentary"
"66","'What's Your 'I.Q.'?' Number Two",1940,"Short"
"67","'burbs, The",1989,"Comedy"
"68","(A)Torzija",2002,"Drama"
"69","(A)Torzija",2002,"Short"
"70","(Entre nous)",2002,"Drama"
"71","(Haru)",1996,"Drama"
"72","(Haru)",1996,"Romance"
"73","(Paris: XY)",2001,"Drama"
"74","(T)Raumschiff Surprise - Periode 1",2004,"Comedy"
"75","*Corpus Callosum",2002,"Drama"
"76","*batteries not included",1987,"Comedy"
"77","+1 -1",1987,"Animation"
"78","+1 -1",1987,"Comedy"
"79","+1 -1",1987,"Short"
"80","-30-",1959,"Drama"
"81","-But the Flesh Is Weak",1932,"Comedy"
"82","...All the Marbles",1981,"Action"
"83","...All the Marbles",1981,"Comedy"
"84","...All the Marbles",1981,"Drama"
"85","...All the Marbles",1981,"Romance"
"86","...Almost",1990,"Drama"
"87","...Almost",1990,"Romance"
"88","...And Justice for All",1979,"Drama"
"89","...Because She Disobeyed",1935,"Comedy"
"90","...Because She Disobeyed",1935,"Drama"
"91","...Belpaese, Il",1977,"Comedy"
"92","...Belpaese, Il",1977,"Drama"
"93","...Comme elle respire",1998,"Comedy"
"94","...Is It the Design on the Wrapper?",1997,"Short"
"95","...Ja teeb trikke",1978,"Animation"
"96","...Ja teeb trikke",1978,"Comedy"
"97","...Ja teeb trikke",1978,"Short"
"98","...Lost",2000,"Short"
"99","...Maybe This Time",1980,"Drama"
"100","...Po prozvishchu 'Zver'",1990,"Action"
"101","...Quando Troveja",1999,"Drama"
"102","...To Skin a Cat",2004,"Comedy"
"103","...To Skin a Cat",2004,"Short"
"104","...a zase ta Lucie!",1984,"Comedy"
"105","...al fin, el mar",2005,"Drama"
"106","...al fin, el mar",2005,"Romance"
"107","...borgnes sont rois, Les",1974,"Short"
"108","...dopo di che, uccide il maschio e lo divora",1971,"Drama"
"109","...som havets nakna vind",1968,"Drama"
"110","...som havets nakna vind",1968,"Romance"
"111","...tick...tick...tick...",1970,"Action"
"112","...tick...tick...tick...",1970,"Drama"
"113","...und das ist erst der Anfang",2000,"Comedy"
